Model,MAE,RMSE,MAPE,WMAPE,SMAPE,R²,Training Time,Inference Time,Pinball Loss
xgboost,65.99295,97.268501,36.442397,8.47%,20.811533,0.983523,1.681703,0.011167,N/A
mlp,73.903709,110.635444,80.786899,9.48%,29.364805,0.978683,1.422038,0.008241,N/A
random_forest,76.971371,116.865052,27.253228,9.88%,18.91399,0.976215,3.304131,0.024607,N/A
lightgbm_quantile,75.206677,124.534498,18.632481,9.65%,13.985512,0.97299,5.88514,0.127701,27.089460
svr,99.493466,241.176333,23.391607,12.76%,16.991716,0.8987,1.735954,0.810137,N/A
lstm,337.15096,537.788679,223.864633,43.26%,60.395637,0.496311,30.051952,0.228801,N/A
