Feature_Name,Mean,Median,Std_Dev,Min,Max,Missing_Count
Lag_1,248.39914265301263,143.0,273.2458528544778,0.0,968.0,0
Lag_2,244.401524172422,143.0,269.7898804049194,0.0,968.0,0
Lag_3,240.36556322934032,143.0,266.19176670291654,0.0,968.0,0
Rolling_Mean_3,243.5363181709931,137.0,265.69522082761375,0.0,968.0,0
Rolling_Mean_6,236.21986584107324,131.0,256.15182158971106,0.0,968.0,0
Inventory_Utilization,0.16168879899127833,0.08218312076474227,0.19457238711013752,0.0,0.9435562775087886,0
Lead_Time_Category,0.7804239104548703,1.0,0.6925642717261034,0.0,2.0,0
Demand_Growth,153798.78876788306,0.0,1821709.9388256127,-0.9999999807321777,59699999.99999999,0
Inventory_Coverage,3455768.386306721,1.3999999711340212,29526894.413316462,0.0,289200000.0,0
Budget_Utilization,0.1419478648787851,0.0679828460464856,0.18864315520122166,0.0,1.2501600735908782,0
Supplier_Risk_Score,0.1440568158380274,0.10198725433984178,0.11682365672907294,0.0075,0.5084773320628382,0
Seasonal_Demand_Index,0.999999436604656,0.9336458003121562,0.5090660507154732,0.36048278949146784,2.0230101425695275,0
Transportation_Cost_Index,0.31807141392965066,0.31899996937468506,0.09896044691033766,0.14999998379824916,0.5624999468324464,0
