Model,MAE,RMSE,MAPE,WMAPE,SMAPE,R²,Training Time,Inference Time,Pinball Loss
lightgbm_quantile,17.945315,51.574281,11.943613,3.03%,13.000031,0.987161,2.003097,0.015478,15.970153
xgboost,36.673402,66.922507,16.115101,6.18%,20.239013,0.978382,2.034274,0.010918,N/A
random_forest,33.236503,74.195468,14.000587,5.60%,16.993966,0.973428,3.494804,0.02362,N/A
mlp,61.08881,89.483026,34.610709,10.30%,23.558781,0.96135,2.836713,0.008015,N/A
lstm,169.598459,233.839203,80.915882,28.59%,43.612872,0.736062,46.435204,0.216752,N/A
svr,227.747367,314.195321,48.368574,38.39%,57.357776,0.523497,1.758269,0.831681,N/A
